IdentyfikatorZespolu,NazwaZespolu,IloscCzlonkowZespoluBezStazystow,IloscStazystow
0,ebdba58c-6f98-4610-84b1-28ffbb5a980d,2,0
1,578af37f-a9a4-41f0-9acf-562579f10e56,10,0
2,9d9dc778-07b4-4945-bdbc-c0285c34beb4,4,0
3,f5c68848-8132-475c-befd-07626fa61c32,6,5
4,09af21ad-f069-4133-999f-0361e388d6c3,5,0
5,561effcc-56bc-43d7-808a-bc4de82e9d93,9,3
6,b49c3634-fe5b-4cfa-a60b-1e2056a487fd,1,0
7,4ddc1ad6-da0f-4a40-a5d9-d722c5e1fcb1,2,0
8,9bd5a311-f337-42a0-bcdc-e55b6c259506,6,1
9,c4a3dc2b-2854-4104-8702-a852fe90ce91,5,0
10,f74fd284-642c-4962-ad96-ddac34347bef,2,0
11,550ac5c5-93d2-4225-abcf-5ad28220cc40,4,0
12,80c0af24-0968-400f-9580-e6b3ac86e0d6,6,3
13,210a671e-e26e-4cef-91ac-9ad29c99afb2,7,0
14,bd3a6054-e2d7-42e9-88b8-ae4393e9ebc1,3,3
15,10a1ea4f-b960-4e48-8bc6-cec1c20a0038,6,0
16,5507087f-323a-4bb1-8903-566136af5f39,3,1
17,dc614809-6e04-487b-a79c-724fa1abd565,4,0
18,a67af0c6-6d65-46d2-9eb5-163523721291,2,0
19,69aed047-415b-4fa1-a6c4-bcd37dba8f9a,2,1
20,b8d44bc4-a38f-48d4-a92c-179bcb1acd50,1,0
21,72ada7b3-8aec-493c-af48-922ba52b1203,10,0
22,e54973d7-4472-44a5-9a08-94a3247a1f3d,1,1
23,71eb927b-2e72-41b3-9652-2f6770e258b4,8,0
24,e1a93aa0-00ec-4d96-b075-e11fec1a95c8,2,0
25,ab0abfa0-6e41-40f2-8a4c-cd8aa59b195c,2,2
26,d2a71d51-d891-482b-9810-0a97db14217b,2,2
27,2941b434-a728-4708-9263-92b0b15a2ae4,9,0
28,608c5536-eb8b-4203-b7b0-2931eddec386,1,0
29,88b21461-fc8b-4e5a-a298-319210d8f5c9,9,0
30,689336c7-3789-44be-837b-c949af154faa,5,0
31,89b3c586-20ea-46ac-ae4e-ca19af948ce0,9,2
32,709b9f80-b30f-4bd1-b801-e034de5232e0,1,0
33,2018fd75-d4d0-40d3-9ce2-3fc178f2e433,2,0
34,8f09088b-eb10-42f7-8575-18844004f77f,9,0
35,a73c6d5c-051b-4718-be58-2e5d82c436e3,1,1
36,30046bd8-7638-4921-bdff-200e36384b9d,10,0
37,59d44109-c8ee-430d-8fa1-83a770b77f18,4,0
38,5d637cba-b207-45cb-9a85-39731b18c75f,3,2
39,960da779-cf40-4246-b001-78d7a4448d17,9,0
